time,session,status,asr_ms,mt_ms,lag_s,last_caption_age_s
1790303622,cap-1,live,,,0.0,
1790303622,cap-2,waiting,,,0.0,
1790303622,cap-3,waiting,,,0.0,
1790303622,cap-4,waiting,,,0.0,
1790303627,cap-1,live,797.9,1064.8,0.99,2.3
1790303627,cap-2,waiting,,,0.0,
1790303627,cap-3,waiting,,,0.0,
1790303627,cap-4,waiting,,,0.0,
1790303632,cap-1,live,602.3,1154.7,1.34,1.9
1790303632,cap-2,waiting,,,0.0,
1790303632,cap-3,waiting,,,0.0,
1790303632,cap-4,waiting,,,0.0,
1790303637,cap-1,live,602.0,584.0,0.99,0.2
1790303637,cap-2,waiting,,,0.0,
1790303637,cap-3,waiting,,,0.0,
1790303637,cap-4,waiting,,,0.0,
1790303642,cap-1,live,611.2,1201.4,0.99,2.7
1790303642,cap-2,waiting,,,0.0,
1790303642,cap-3,waiting,,,0.0,
1790303642,cap-4,waiting,,,0.0,
1790303647,cap-1,live,612.2,1201.4,1.09,1.8
1790303647,cap-2,waiting,,,0.0,
1790303647,cap-3,waiting,,,0.0,
1790303647,cap-4,waiting,,,0.0,
1790303652,cap-1,live,658.1,1495.3,1.09,1.4
1790303652,cap-2,waiting,,,0.0,
1790303652,cap-3,waiting,,,0.0,
1790303652,cap-4,waiting,,,0.0,
1790303657,cap-1,live,659.7,1495.3,1.09,2.3
1790303657,cap-2,waiting,,,0.0,
1790303657,cap-3,waiting,,,0.0,
1790303657,cap-4,waiting,,,0.0,
1790303662,cap-1,live,871.1,1206.6,1.02,2.2
1790303662,cap-2,waiting,,,0.0,
1790303662,cap-3,waiting,,,0.0,
1790303662,cap-4,waiting,,,0.0,
1790303667,cap-1,live,636.4,1082.3,1.02,0.2
1790303667,cap-2,waiting,,,0.0,
1790303667,cap-3,waiting,,,0.0,
1790303667,cap-4,waiting,,,0.0,
1790303672,cap-1,live,636.6,1082.3,1.02,2.6
1790303672,cap-2,waiting,,,0.0,
1790303672,cap-3,waiting,,,0.0,
1790303672,cap-4,waiting,,,0.0,
1790303677,cap-1,live,649.2,1144.3,1.06,2.0
1790303677,cap-2,waiting,,,0.0,
1790303677,cap-3,waiting,,,0.0,
1790303677,cap-4,waiting,,,0.0,
1790303682,cap-1,live,612.1,1473.7,1.02,0.8
1790303682,cap-2,waiting,,,0.0,
1790303682,cap-3,waiting,,,0.0,
1790303682,cap-4,waiting,,,0.0,
1790303687,cap-1,live,626.2,734.4,1.02,3.5
1790303687,cap-2,waiting,,,0.0,
1790303687,cap-3,waiting,,,0.0,
1790303687,cap-4,waiting,,,0.0,
1790303692,cap-1,live,670.1,734.4,1.02,2.0
1790303692,cap-2,waiting,,,0.0,
1790303692,cap-3,waiting,,,0.0,
1790303692,cap-4,waiting,,,0.0,
1790303697,cap-1,live,638.6,1211.7,0.8,0.5
1790303697,cap-2,waiting,,,0.0,
1790303697,cap-3,waiting,,,0.0,
1790303697,cap-4,waiting,,,0.0,
1790303702,cap-1,live,643.1,1211.7,0.8,2.8
1790303702,cap-2,waiting,,,0.0,
1790303702,cap-3,waiting,,,0.0,
1790303702,cap-4,waiting,,,0.0,
1790303707,cap-1,live,636.6,1151.1,0.74,3.1
1790303707,cap-2,waiting,,,0.0,
1790303707,cap-3,waiting,,,0.0,
1790303707,cap-4,waiting,,,0.0,
1790303712,cap-1,live,656.4,1151.1,0.74,1.5
1790303712,cap-2,waiting,,,0.0,
1790303712,cap-3,waiting,,,0.0,
1790303712,cap-4,waiting,,,0.0,
